,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Isla Vista,US,82.0,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
577,Grajau,BR,75.63,light rain,-5.8194,-46.1386,Hotel Confiança
581,Rio Verde De Mato Grosso,BR,78.12,overcast clouds,-18.9181,-54.8442,Hotel Valência
590,Acapulco,MX,82.4,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
591,Lagos,NG,79.23,clear sky,6.5833,3.75,
595,Le Vauclin,MQ,78.8,overcast clouds,14.5452,-60.8388,Hôtel Cap Macabou
603,Puerto Penasco,MX,75.0,clear sky,31.3167,-113.5333,Playa Bonita Resort
611,Rio Grande,BR,75.0,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
612,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
614,Salinas,US,75.2,clear sky,36.6777,-121.6555,Good Nite Inn Salinas Monterey
623,Jacareacanga,BR,76.41,light rain,-6.2222,-57.7528,Casa do Ian😎
634,Araioses,BR,82.4,scattered clouds,-2.89,-41.9031,Pousada Vale do magu
636,Sao Paulo De Olivenca,BR,80.15,overcast clouds,-3.3783,-68.8725,
640,Sao Gabriel Da Cachoeira,BR,78.94,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
641,Alice Springs,AU,84.2,clear sky,-23.7,133.8833,Desert Palms Alice Springs
642,General Roca,AR,84.2,clear sky,-39.0333,-67.5833,Hotel El Recreo
644,Whitianga,NZ,78.01,clear sky,-36.8333,175.7,Beachside Resort Whitianga
647,Saint-Joseph,RE,78.8,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
649,Soyo,AO,78.26,clear sky,-6.1349,12.3689,Hotel Mpampa
651,Axim,GH,79.38,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
652,Simplicio Mendes,BR,75.79,broken clouds,-7.8539,-41.9103,Fidalgo
655,Saint-Leu,RE,78.8,broken clouds,-21.15,55.2833,La Caz Oceane
656,Taraza,CO,82.45,light rain,7.5836,-75.4007,Hotel Monteverde
659,Kalmunai,LK,77.99,light rain,7.4167,81.8167,VS Villa
662,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
664,Pandan,PH,78.42,light rain,14.0453,124.1694,Bonifacio Lodge
673,Sabang,ID,80.94,overcast clouds,5.8933,95.3214,Hotel Citra
674,Ngunguru,NZ,77.0,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
677,Lagarto,BR,80.6,few clouds,-10.9172,-37.65,Pousada Cota
678,West Bay,KY,84.2,few clouds,19.3667,-81.4167,Calypso Cove
680,Gladstone,AU,78.8,light rain,-23.85,151.25,Highpoint International
686,Gizo,SB,84.27,scattered clouds,-8.103,156.8419,Imagination Island
693,Durban,ZA,79.0,clear sky,-29.8579,31.0292,Hilton Durban
695,Tamandare,BR,78.87,few clouds,-8.7597,-35.1047,Pousada 100 Passos
696,Mopti,ML,78.8,clear sky,14.6667,-4.0,
